0,,F72,
2,,F55,
3,,F25,
6,,F65,
7,,F64,
8,,F67,
9,,F34,
10,,F66,
12,,F68,
13,,F101,
16,,F104,
17,,F105,
46,,F3-getUrl(),
50,,F3-String,
52,,F3-int,
53,,F3-Properties,
69,,F7-+,
105,,F2-Connection,
110,,F2-DriverManager,
112,,F2-Statement,
144,,F1-executeQuery,
147,,F1-prepareStatement,
152,,F1-getConnection,
210,,F15-public,
217,,F4-ResultSet,
219,,F4-PreparedStatement,
220,,F4-Connection,
271,,F94,
273,,F21,
274,,F109,
275,,F20,
277,,F22,
279,,F111,
281,,F113,
282,,F116,
283,,F117,
284,,F118,
286,,F120,
290,,F123,
291,,F114,
292,,F115,
293,,F61,
294,,F77,
295,,F88,
296,,F70,
297,,F41,
298,,F40,
300,,F42,
301,,F45,
302,,F44,
303,,F46,
304,,F126,
309,,F130,
310,,F35,
311,,F131,
312,,F38,
316,,F134,
318,,F135,
319,,F136,
320,,F137,
322,,F71-ramkrishna.s.vasudevan@intel.com,
323,,F71-jtaylor@salesforce.com,
324,,F71-jamestaylor@apache.org,
325,,F71-tdsilva@salesforce.com,
327,,F71-twdsilva@gmail.com,
330,,F71-enis@apache.org,
332,,F71-jzhong@JZhongs-MacBook-Pro.local,
334,,F71-stoens@apache.org,
336,,F71-gabrielr@ngdata.com,
337,,F71-rajeshbabu@apache.org,
340,,F71-mujtaba@apache.org,
342,,F74,
344,,F84,
345,,F146,
346,,category,
original feature size,347
refined feature size,74
