F61,F77,F88,F70,
0,582,211,8186,
10,1363,1153,8967,
1,582,211,8186,
6,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
8,1363,1153,8967,
16,1363,1153,8967,
1,295,65,7899,
1,295,65,7899,
12,1363,1153,8967,
12,1363,1153,8967,
1,582,211,8186,
6,1363,1153,8967,
1,582,211,8186,
1,582,211,8186,
3,530,180,8134,
3,530,180,8134,
5,547,191,8151,
5,547,191,8151,
3,530,180,8134,
5,547,191,8151,
5,547,191,8151,
5,547,191,8151,
1,530,180,8134,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
6,1043,287,8647,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
8,1295,697,8899,
8,1295,697,8899,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
0,582,211,8186,
8,1266,641,8870,
0,582,211,8186,
0,582,211,8186,
1,568,209,8172,
1,391,100,7995,
3,582,211,8186,
17,1277,649,8881,
17,1277,649,8881,
11,1325,883,8929,
11,1325,883,8929,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
2,613,223,8217,
2,613,223,8217,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
3,1015,277,8619,
3,1015,277,8619,
2,844,268,8448,
2,844,268,8448,
4,551,195,8155,
11,1364,1153,8968,
0,582,211,8186,
11,1364,1153,8968,
3,725,248,8329,
3,725,248,8329,
3,725,248,8329,
1,531,180,8135,
1,531,180,8135,
34,1364,1153,8968,
34,1364,1153,8968,
44,1364,1153,8968,
44,1364,1153,8968,
14,806,250,8410,
1,340,74,7944,
26,1302,751,8906,
1,340,74,7944,
1,340,74,7944,
1,196,52,7800,
1,196,52,7800,
1,196,52,7800,
1,196,52,7800,
1,196,52,7800,
13,1325,883,8929,
13,1325,883,8929,
13,1325,883,8929,
13,1325,883,8929,
8,1364,1153,8968,
8,1364,1153,8968,
1,582,211,8186,
1,582,211,8186,
3,1169,429,8773,
4,1170,435,8774,
3,1047,288,8651,
3,1047,288,8651,
8,325,71,7929,
8,325,71,7929,
8,325,71,7929,
10,582,211,8186,
4,582,211,8186,
5,618,228,8222,
28,1260,631,8864,
14,1260,631,8864,
7,365,83,7969,
7,365,83,7969,
0,61,0,7665,
0,61,0,7665,
1,365,83,7969,
1,61,0,7665,
1,61,0,7665,
2,365,83,7969,
5,365,83,7969,
5,365,83,7969,
5,365,83,7969,
5,365,83,7969,
1,90,13,7694,
1,61,0,7665,
7,365,83,7969,
0,61,0,7665,
0,61,0,7665,
1,365,83,7969,
1,365,83,7969,
1,365,83,7969,
1,365,83,7969,
1,365,83,7969,
1,365,83,7969,
1,365,83,7969,
1,365,83,7969,
0,61,0,7665,
0,61,0,7665,
1,365,83,7969,
0,1,0,7605,
0,1,0,7605,
24,1325,883,8929,
3,582,211,8186,
1,340,74,7944,
3,582,211,8186,
1,340,74,7944,
15,1325,883,8929,
24,1325,883,8929,
11,632,234,8236,
29,1325,883,8929,
8,457,170,8061,
13,552,195,8156,
8,582,211,8186,
18,1308,771,8912,
18,1308,771,8912,
18,1308,771,8912,
8,582,211,8186,
18,1308,771,8912,
22,540,183,8144,
19,1308,771,8912,
19,1308,771,8912,
7,582,211,8186,
19,1308,771,8912,
7,582,211,8186,
19,1308,771,8912,
7,582,211,8186,
19,1308,771,8912,
0,2,0,7606,
0,2,0,7606,
2,258,60,7862,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
2,224,56,7828,
1,257,60,7861,
1,257,60,7861,
6,258,60,7862,
5,258,60,7862,
4,258,60,7862,
3,258,60,7862,
3,224,56,7828,
3,224,56,7828,
2,222,55,7826,
2,222,55,7826,
7,258,60,7862,
5,257,60,7861,
0,65,2,7669,
5,257,60,7861,
0,65,2,7669,
5,257,60,7861,
5,257,60,7861,
5,257,60,7861,
5,257,60,7861,
5,257,60,7861,
4,237,58,7841,
5,257,60,7861,
5,257,60,7861,
5,257,60,7861,
5,237,58,7841,
6,233,57,7837,
0,61,0,7665,
1,78,3,7682,
1,78,3,7682,
4,237,58,7841,
6,237,58,7841,
6,237,58,7841,
1,61,0,7665,
1,61,0,7665,
1,61,0,7665,
1,61,0,7665,
1,61,0,7665,
4,237,58,7841,
4,258,60,7862,
1,257,60,7861,
1,257,60,7861,
1,257,60,7861,
1,257,60,7861,
1,257,60,7861,
1,257,60,7861,
1,257,60,7861,
1,257,60,7861,
1,257,60,7861,
2,197,53,7801,
3,258,60,7862,
3,258,60,7862,
13,1244,620,8848,
5,1364,1153,8968,
1,232,57,7836,
18,1321,787,8925,
18,1321,787,8925,
4,365,83,7969,
4,365,83,7969,
4,365,83,7969,
1,90,13,7694,
1,90,13,7694,
1,90,13,7694,
10,1273,646,8877,
1,582,211,8186,
1,582,211,8186,
9,1322,805,8926,
9,1322,805,8926,
1,582,211,8186,
1,582,211,8186,
9,1321,787,8925,
9,1321,787,8925,
1,582,211,8186,
1,582,211,8186,
8,1321,787,8925,
8,1321,787,8925,
1,582,211,8186,
1,582,211,8186,
2,1083,313,8687,
2,1083,313,8687,
30,1323,840,8927,
30,1323,840,8927,
30,1323,840,8927,
30,1323,840,8927,
28,1321,787,8925,
3,953,273,8557,
15,1322,805,8926,
3,582,211,8186,
16,1323,840,8927,
1,464,173,8068,
0,61,0,7665,
0,61,0,7665,
0,61,0,7665,
1,464,173,8068,
1,464,173,8068,
1,464,173,8068,
1,464,173,8068,
1,464,173,8068,
1,464,173,8068,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
1,582,211,8186,
8,1223,591,8827,
8,1223,591,8827,
8,1229,603,8833,
8,1229,603,8833,
12,1265,638,8869,
11,1265,638,8869,
11,1265,638,8869,
4,365,83,7969,
0,61,0,7665,
7,365,83,7969,
7,365,83,7969,
0,61,0,7665,
0,61,0,7665,
5,365,83,7969,
0,61,0,7665,
0,61,0,7665,
1,365,83,7969,
0,61,0,7665,
0,61,0,7665,
1,365,83,7969,
0,61,0,7665,
0,61,0,7665,
1,365,83,7969,
4,365,83,7969,
2,365,83,7969,
1,365,83,7969,
4,1364,1153,8968,
3,365,83,7969,
4,1364,1153,8968,
4,1364,1153,8968,
4,1364,1153,8968,
4,1364,1153,8968,
4,1364,1153,8968,
4,1364,1153,8968,
4,1364,1153,8968,
4,1364,1153,8968,
1,61,0,7665,
7,365,83,7969,
7,365,83,7969,
7,365,83,7969,
7,365,83,7969,
1,61,0,7665,
1,61,0,7665,
7,365,83,7969,
4,1364,1153,8968,
