F83,F71-sdeboy@apache.org,F71-ggregory@apache.org,F71-rpopma@unknown,F71-rgoers@apache.org,F71-carnold@apache.org,F71-nickwilliams@unknown,F74,F85,F73,F84,F146,F147,
584,0,1,0,0,0,0,8186,1,8968,63,7665,7605,
584,0,1,0,1,0,0,8186,1,8968,63,7665,7605,
427,1,1,0,0,0,0,8029,1,8968,63,7665,7605,
427,1,1,0,1,0,0,8029,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
125,0,1,0,1,0,0,7727,1,8968,63,7665,7605,
222,0,1,0,1,0,1,7824,1,8968,63,7665,7605,
63,0,1,0,1,0,0,7665,1,8968,63,7665,7605,
63,0,1,0,1,0,0,7665,1,8968,63,7665,7605,
69,0,1,0,1,0,1,7671,1,8968,63,7665,7605,
69,0,1,0,1,0,1,7671,1,8968,63,7665,7605,
521,0,1,0,0,0,0,8123,1,8968,521,8123,7605,
521,0,1,0,1,0,0,8123,1,8968,521,8123,7605,
521,0,1,0,0,0,0,8123,1,8968,521,8123,7605,
521,0,1,0,0,0,0,8123,1,8968,521,8123,7605,
342,1,1,0,1,0,0,7944,1,8968,63,7665,7605,
342,1,1,0,1,0,0,7944,1,8968,63,7665,7605,
342,1,1,0,1,0,0,7944,1,8968,63,7665,7605,
342,1,1,0,1,0,0,7944,1,8968,63,7665,7605,
342,1,1,0,1,0,0,7944,1,8968,63,7665,7605,
342,1,1,0,1,0,0,7944,1,8968,63,7665,7605,
342,1,1,0,1,0,0,7944,1,8968,63,7665,7605,
342,1,1,0,1,0,0,7944,1,8968,63,7665,7605,
526,0,1,0,0,0,0,8128,1,8968,63,7665,7605,
