F72,F54,F53,F55,F25,F26,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
7097,org/apache/log4j,apache,org/apache/log4j/QpidCompositeRollingAppender.java,2815,true,
3196,org/apache/qpid/framing,apache,org/apache/qpid/framing/MethodRegistry.java,459,true,
3196,org/apache/qpid/framing,apache,org/apache/qpid/framing/MethodRegistry.java,459,true,
2617,org/apache/qpid,apache,org/apache/qpid/AMQException.java,146,true,
7773,org/apache/qpid/protocol,apache,org/apache/qpid/protocol/AMQConstant.java,3026,true,
6079,org/apache/qpid,apache,org/apache/qpid/AMQExceptionTest.java,2247,true,
3495,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Connection.java,655,true,
3951,org/apache/qpid/amqp_1_0/type/transport,apache,org/apache/qpid/amqp_1_0/type/transport/Error.java,1002,true,
3951,org/apache/qpid/amqp_1_0/type/transport,apache,org/apache/qpid/amqp_1_0/type/transport/Error.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Receiver.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Receiver.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Receiver.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Sender.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Sender.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Sender.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Sender.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/Sender.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/TransactionController.java,1002,true,
3951,org/apache/qpid/amqp_1_0/client,apache,org/apache/qpid/amqp_1_0/client/TransactionController.java,1002,true,
3094,org/apache/qpid/amqp_1_0/client/websocket,apache,org/apache/qpid/amqp_1_0/client/websocket/WebSocketProvider.java,357,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/AbstractDescribedTypeWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/AbstractDescribedTypeWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/ArrayTypeConstructor.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/ArrayWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/ArrayWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/BooleanWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/ByteWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/ByteWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/CompoundWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/CompoundWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/DecimalConstructor.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/DecimalConstructor.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/DecimalConstructor.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/DefaultDescribedTypeConstructor.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/FixedEightWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/FixedEightWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/FixedFourWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/FixedFourWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/FixedOneWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/FixedOneWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/FixedSixteenWriter.java,1002,true,
3951,org/apache/qpid/amqp_1_0/codec,apache,org/apache/qpid/amqp_1_0/codec/FixedSixteenWriter.java,1002,true,
