F61,F77,F88,F70,
23,4663,2722,7096,
13,2749,1749,5182,
22,4658,2721,7091,
22,4658,2721,7091,
10,2746,1749,5179,
23,4663,2722,7096,
23,4663,2722,7096,
23,4663,2722,7096,
23,4663,2722,7096,
23,4663,2722,7096,
7,3647,2155,6080,
19,5340,2933,7773,
4,3646,2155,6079,
0,252,71,2685,
1,1518,909,3951,
1,1518,909,3951,
13,1518,909,3951,
13,1518,909,3951,
13,1518,909,3951,
11,1518,909,3951,
6,777,370,3210,
11,1518,909,3951,
11,1518,909,3951,
11,1518,909,3951,
0,628,247,3061,
1,1518,909,3951,
2,661,264,3094,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
2,1518,909,3951,
2,1518,909,3951,
0,1518,909,3951,
0,1518,909,3951,
0,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
0,1518,909,3951,
0,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
2,1518,909,3951,
2,1518,909,3951,
1,1518,909,3951,
4,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
8,1518,909,3951,
7,1203,713,3636,
7,1203,713,3636,
8,1518,909,3951,
8,1518,909,3951,
8,1518,909,3951,
8,1518,909,3951,
4,1518,909,3951,
4,1518,909,3951,
4,1518,909,3951,
4,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
1,1518,909,3951,
4,1518,909,3951,
0,148,49,2581,
5,649,260,3082,
5,649,260,3082,
5,649,260,3082,
5,649,260,3082,
5,649,260,3082,
5,649,260,3082,
7,653,260,3086,
21,1518,909,3951,
21,1518,909,3951,
20,1208,721,3641,
2,1518,909,3951,
2,1518,909,3951,
2,1518,909,3951,
2,1518,909,3951,
2,1518,909,3951,
2,1518,909,3951,
2,1518,909,3951,
2,1518,909,3951,
16,1518,909,3951,
0,24,19,2457,
0,24,19,2457,
8,1518,909,3951,
8,1518,909,3951,
8,1518,909,3951,
8,1518,909,3951,
8,1518,909,3951,
8,1518,909,3951,
