F61,F77,F88,F70,
2,963,388,8186,
12,1744,1331,8967,
3,963,388,8186,
8,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
10,1744,1331,8967,
19,1744,1331,8967,
5,676,243,7899,
5,676,243,7899,
14,1744,1331,8967,
14,1744,1331,8967,
0,160,129,7383,
3,963,388,8186,
8,1744,1331,8967,
3,963,388,8186,
3,963,388,8186,
6,911,357,8134,
6,911,357,8134,
8,928,368,8151,
8,928,368,8151,
6,911,357,8134,
8,928,368,8151,
8,928,368,8151,
8,928,368,8151,
3,911,357,8134,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
9,1424,464,8647,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
11,1676,875,8899,
11,1676,875,8899,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
3,963,388,8186,
10,1647,818,8870,
3,963,388,8186,
3,963,388,8186,
4,949,386,8172,
5,772,278,7995,
25,1745,1331,8968,
25,1745,1331,8968,
15,1706,1061,8929,
15,1706,1061,8929,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
5,963,388,8186,
6,994,400,8217,
6,994,400,8217,
5,963,388,8186,
5,963,388,8186,
