2,,F55,
3,,F25,
6,,F65,
9,,F34,
10,,F66,
11,,F69,
12,,F68,
14,,F102,
17,,F105,
28,,F16-void,
48,,F3-getUrl(),
52,,F3-int,
66,,F7-*,
105,,F2-Statement,
140,,F1-prepareStatement,
141,,F1-getUrl,
248,,F94,
249,,F95,
250,,F21,
253,,F23,
255,,F79,
256,,F111,
258,,F113,
259,,F116,
260,,F117,
261,,F118,
262,,F119,
264,,F110,
267,,F123,
269,,F115,
271,,F77,
272,,F88,
273,,F70,
274,,F41,
276,,F43,
280,,F46,
282,,F127,
283,,F128,
285,,F36,
289,,F38,
291,,F37,
292,,F133,
293,,F134,
294,,F39,
301,,F71-jamestaylor@apache.org,
311,,F74,
313,,F84,
315,,category,
original feature size,316
refined feature size,47
