F61,F77,F88,F70,
3,1743,1237,5266,
3,1743,1237,5266,
3,1743,1237,5266,
1,1061,683,4584,
3,1743,1237,5266,
3,1743,1237,5266,
3,1743,1237,5266,
3,1743,1237,5266,
3,1743,1237,5266,
3,1743,1237,5266,
3,1743,1237,5266,
13,1805,1283,5328,
10,1998,1442,5521,
10,1998,1442,5521,
10,1998,1442,5521,
0,251,364,3774,
4,3211,1940,6734,
4,3211,1940,6734,
4,3211,1940,6734,
4,3211,1940,6734,
7,1767,1250,5290,
7,1767,1250,5290,
10,1794,1271,5317,
10,1794,1271,5317,
10,1794,1271,5317,
6,562,531,4085,
4,1871,1331,5394,
5,3854,3199,7377,
2,1871,1331,5394,
3,1871,1331,5394,
9,3854,3199,7377,
3,1871,1331,5394,
3,1871,1331,5394,
9,3854,3199,7377,
9,3854,3199,7377,
3,1871,1331,5394,
6,3745,2810,7268,
6,3745,2810,7268,
6,3745,2810,7268,
6,3745,2810,7268,
3,3228,1964,6751,
3,3228,1964,6751,
8,3854,3199,7377,
5,3747,2812,7270,
5,3747,2812,7270,
5,3747,2812,7270,
5,3747,2812,7270,
5,3747,2812,7270,
5,3747,2812,7270,
5,3747,2812,7270,
5,3747,2812,7270,
5,3854,3199,7377,
10,3854,3199,7377,
10,3854,3199,7377,
10,3854,3199,7377,
10,3854,3199,7377,
10,3854,3199,7377,
10,3854,3199,7377,
6,3854,3199,7377,
6,3854,3199,7377,
6,3854,3199,7377,
6,3854,3199,7377,
6,3854,3199,7377,
6,3854,3199,7377,
2,1871,1331,5394,
2,1871,1331,5394,
2,1871,1331,5394,
2,1871,1331,5394,
5,3854,3199,7377,
5,3854,3199,7377,
12,3854,3199,7377,
3,1871,1331,5394,
3,1871,1331,5394,
3,3854,3199,7377,
3,3854,3199,7377,
3,3854,3199,7377,
2,1815,1300,5338,
5,2732,1716,6255,
2,1815,1300,5338,
7,3228,1964,6751,
3,1871,1331,5394,
3,1871,1331,5394,
6,3228,1964,6751,
3,1871,1331,5394,
7,3854,3199,7377,
7,3854,3199,7377,
8,3854,3199,7377,
8,3854,3199,7377,
8,3854,3199,7377,
8,3854,3199,7377,
2,1815,1300,5338,
6,2732,1716,6255,
6,2732,1716,6255,
6,2732,1716,6255,
6,2732,1716,6255,
6,2732,1716,6255,
6,2732,1716,6255,
6,2732,1716,6255,
11,3854,3199,7377,
8,3854,3199,7377,
8,3854,3199,7377,
9,4989,3952,8512,
1,3726,2795,7249,
6,4609,3891,8132,
9,4989,3952,8512,
9,4989,3952,8512,
0,1511,1092,5034,
31,5154,3997,8677,
31,5154,3997,8677,
21,5154,3997,8677,
21,5154,3997,8677,
21,5154,3997,8677,
4,1490,1082,5013,
4,1490,1082,5013,
4,4497,3843,8020,
4,4497,3843,8020,
4,4497,3843,8020,
4,4497,3843,8020,
6,5104,3974,8627,
6,5104,3974,8627,
6,5104,3974,8627,
6,5104,3974,8627,
5,5104,3974,8627,
5,5104,3974,8627,
5,5104,3974,8627,
5,5104,3974,8627,
5,5104,3974,8627,
8,5104,3974,8627,
