0,,F72
6,,F65
7,,F64
8,,F67
15,,F103
16,,F104
17,,F105
19,,F108
29,,F16-void
49,,F3-getUrl()
51,,F3-String
53,,F3-int
54,,F3-Properties
56,,F3-BitSet
58,,F3-input
61,,F7--
89,,F2-ResultSet
99,,F2-Connection
103,,F2-DriverManager
124,,F6-java.lang.StringBuilder
138,,F1-executeQuery
142,,F1-prepareStatement
143,,F1-getUrl
158,,F5-java.lang.Object
167,,F5-java.lang.AbstractStringBuilder
197,,F15-public
209,,F4-Connection
216,,F4-String
253,,F94
254,,F95
255,,F21
256,,F109
258,,F23
259,,F22
261,,F111
262,,F112
264,,F116
265,,F117
266,,F118
268,,F120
269,,F110
271,,F122
272,,F123
274,,F115
279,,F41
281,,F43
282,,F42
283,,F45
284,,F44
285,,F46
286,,F126
287,,F127
289,,F129
290,,F36
293,,F131
294,,F38
295,,F132
297,,F133
298,,F134
299,,F39
300,,F135
301,,F136
302,,F137
303,,F83
304,,F71-ramkrishna.s.vasudevan@intel.com
307,,F71-anoopsamjohn@gmail.com
311,,F71-maryannxue@apache.org
312,,F71-jzhong@JZhongs-MacBook-Pro.local
313,,F71-stoens@apache.org
314,,F71-rajeshbabu.chintaguntla@huawei.com
316,,F71-gabrielr@ngdata.com
319,,F71-mujtaba@apache.org
325,,category
original feature size,326,
refined feature size,72,
