F61,F77,F88,F70,
2,199,130,1702,
0,82,50,1585,
0,82,50,1585,
0,82,50,1585,
0,82,50,1585,
0,82,50,1585,
0,82,50,1585,
0,82,50,1585,
0,82,50,1585,
0,82,50,1585,
6,474,246,1977,
6,474,246,1977,
1,286,202,1789,
1,286,202,1789,
7,474,246,1977,
10,474,246,1977,
10,474,246,1977,
8,472,246,1975,
10,474,246,1977,
1,30,11,1533,
11,474,246,1977,
0,10,4,1513,
0,10,4,1513,
11,474,246,1977,
11,474,246,1977,
6,474,246,1977,
2,472,246,1975,
5,472,246,1975,
5,472,246,1975,
5,472,246,1975,
5,472,246,1975,
5,472,246,1975,
5,472,246,1975,
5,472,246,1975,
5,472,246,1975,
2,472,246,1975,
2,472,246,1975,
2,472,246,1975,
2,472,246,1975,
2,472,246,1975,
6,472,246,1975,
10,474,246,1977,
6,472,246,1975,
11,474,246,1977,
11,474,246,1977,
11,474,246,1977,
11,474,246,1977,
21,474,246,1977,
21,474,246,1977,
3,472,246,1975,
19,474,246,1977,
17,472,246,1975,
19,474,246,1977,
19,474,246,1977,
17,472,246,1975,
19,474,246,1977,
19,474,246,1977,
19,474,246,1977,
19,474,246,1977,
19,474,246,1977,
6,474,246,1977,
24,474,246,1977,
27,472,246,1975,
27,472,246,1975,
27,472,246,1975,
27,472,246,1975,
2,219,161,1722,
11,474,246,1977,
11,474,246,1977,
17,474,246,1977,
17,474,246,1977,
17,474,246,1977,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
4,257,196,1760,
15,431,231,1934,
4,257,196,1760,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
15,431,231,1934,
5,474,246,1977,
5,474,246,1977,
5,474,246,1977,
6,472,246,1975,
6,472,246,1975,
6,472,246,1975,
1,219,161,1722,
7,474,246,1977,
7,474,246,1977,
7,474,246,1977,
7,474,246,1977,
1,62,41,1565,
28,474,246,1977,
28,474,246,1977,
0,77,47,1580,
6,431,231,1934,
23,474,246,1977,
23,474,246,1977,
8,431,231,1934,
8,431,231,1934,
8,431,231,1934,
8,431,231,1934,
8,431,231,1934,
8,431,231,1934,
5,474,246,1977,
16,474,246,1977,
14,474,246,1977,
9,472,246,1975,
3,51,33,1554,
27,438,234,1941,
31,474,246,1977,
31,474,246,1977,
31,474,246,1977,
27,438,234,1941,
31,474,246,1977,
27,438,234,1941,
31,474,246,1977,
27,438,234,1941,
27,438,234,1941,
27,438,234,1941,
12,474,246,1977,
12,474,246,1977,
3,107,62,1610,
3,154,77,1657,
12,474,246,1977,
12,474,246,1977,
12,472,246,1975,
0,51,33,1554,
0,51,33,1554,
3,11,5,1514,
22,474,246,1977,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
0,29,11,1532,
2,438,234,1941,
2,438,234,1941,
0,29,11,1532,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
2,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,438,234,1941,
0,29,11,1532,
0,29,11,1532,
0,29,11,1532,
0,29,11,1532,
0,29,11,1532,
0,29,11,1532,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
2,62,41,1565,
2,62,41,1565,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
6,286,202,1789,
6,286,202,1789,
6,286,202,1789,
6,286,202,1789,
9,275,200,1778,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
6,196,127,1699,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
10,286,202,1789,
11,474,246,1977,
10,286,202,1789,
2,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,117,64,1620,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
2,286,202,1789,
4,286,202,1789,
2,209,137,1712,
2,209,137,1712,
3,209,137,1712,
3,286,202,1789,
0,33,12,1536,
3,286,202,1789,
4,247,195,1750,
2,286,202,1789,
13,406,223,1909,
3,211,151,1714,
3,211,151,1714,
1,174,113,1677,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
3,211,151,1714,
4,286,202,1789,
3,286,202,1789,
2,474,246,1977,
2,474,246,1977,
2,474,246,1977,
2,474,246,1977,
2,29,11,1532,
1,11,5,1514,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
5,286,202,1789,
2,204,131,1707,
5,286,202,1789,
3,219,161,1722,
3,219,161,1722,
3,219,161,1722,
3,219,161,1722,
3,219,161,1722,
3,219,161,1722,
3,219,161,1722,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
0,187,114,1690,
0,187,114,1690,
0,187,114,1690,
0,187,114,1690,
1,474,246,1977,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
2,209,137,1712,
2,209,137,1712,
2,209,137,1712,
2,209,137,1712,
2,209,137,1712,
2,209,137,1712,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
1,11,5,1514,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
0,13,5,1516,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
16,273,200,1776,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
17,286,202,1789,
6,134,69,1637,
6,134,69,1637,
5,130,68,1633,
5,130,68,1633,
6,134,69,1637,
5,130,68,1633,
5,130,68,1633,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
6,286,202,1789,
6,286,202,1789,
2,29,11,1532,
0,187,114,1690,
1,286,202,1789,
1,286,202,1789,
1,286,202,1789,
1,286,202,1789,
6,286,202,1789,
2,29,11,1532,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
4,247,195,1750,
4,247,195,1750,
4,247,195,1750,
4,247,195,1750,
4,247,195,1750,
4,247,195,1750,
4,247,195,1750,
4,247,195,1750,
4,247,195,1750,
4,247,195,1750,
6,286,202,1789,
11,286,202,1789,
11,286,202,1789,
11,286,202,1789,
11,286,202,1789,
11,286,202,1789,
11,286,202,1789,
0,29,11,1532,
0,29,11,1532,
11,286,202,1789,
1,78,49,1581,
0,29,11,1532,
11,286,202,1789,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
2,134,69,1637,
4,286,202,1789,
2,247,195,1750,
0,125,67,1628,
3,286,202,1789,
0,28,10,1531,
1,286,202,1789,
2,59,41,1562,
3,286,202,1789,
3,286,202,1789,
7,286,202,1789,
0,41,24,1544,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
2,209,137,1712,
6,286,202,1789,
6,286,202,1789,
6,286,202,1789,
6,286,202,1789,
3,144,73,1647,
3,144,73,1647,
6,286,202,1789,
6,286,202,1789,
6,286,202,1789,
7,474,246,1977,
2,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
4,100,56,1603,
2,286,202,1789,
2,286,202,1789,
2,286,202,1789,
2,286,202,1789,
2,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
5,286,202,1789,
2,286,202,1789,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
2,29,11,1532,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
6,286,202,1789,
6,286,202,1789,
6,286,202,1789,
7,474,246,1977,
6,286,202,1789,
6,286,202,1789,
1,29,11,1532,
6,286,202,1789,
4,240,188,1743,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
4,286,202,1789,
3,286,202,1789,
2,286,202,1789,
2,286,202,1789,
2,286,202,1789,
2,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
7,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
3,286,202,1789,
