F83,F71-msb@apache.org,F71-acoliver@apache.org,F71-sergey@apache.org,F71-klute@apache.org,F71-berlog@apache.org,F71-mjohnson@apache.org,F71-glens@apache.org,F71-sackley@apache.org,F71-paolo@apache.org,F71-yegor@apache.org,F71-slaubach@apache.org,F71-jheight@apache.org,F71-ugo@apache.org,F71-maxcom@apache.org,F71-bayard@apache.org,F71-josh@apache.org,F71-dmui@apache.org,F71-avik@apache.org,F71-amol@apache.org,F71-nick@apache.org,F74,F85,F73,F84,F146,F147,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
1157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4579,1,642,18,3440,3425,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3443,1,8677,18,3440,3425,
505,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3927,1,8677,18,3440,3425,
1459,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,4881,1,8677,18,3440,3425,
1459,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,4881,1,8677,18,3440,3425,
1459,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,4881,1,8677,18,3440,3425,
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3774,1,8677,18,3440,3425,
1216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4638,1,8677,18,3440,3425,
1216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4638,1,8677,18,3440,3425,
1216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4638,1,8677,18,3440,3425,
1216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4638,1,8677,18,3440,3425,
980,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4402,1,8677,18,3440,3425,
980,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4402,1,8677,18,3440,3425,
1026,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4448,1,8677,18,3440,3425,
1026,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4448,1,8677,18,3440,3425,
1026,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4448,1,8677,18,3440,3425,
201,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3623,1,8677,120,3542,3425,
235,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3657,1,8677,120,3542,3425,
253,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3675,1,8677,120,3542,3425,
245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3667,1,8677,120,3542,3425,
254,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,120,3542,3425,
254,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,3676,1,8677,120,3542,3425,
