0,,F72,
7,,F64,
8,,F67,
9,,F34,
12,,F68,
13,,F101,
15,,F103,
17,,F105,
25,,F16-void,
55,,F3-String,
111,,F2-File,
127,,F6-java.io.File,
156,,F1-getAbsolutePath,
164,,F5-java.lang.Object,
203,,F15-public,
257,,F94,
258,,F95,
259,,F21,
260,,F109,
261,,F20,
264,,F79,
265,,F111,
266,,F112,
267,,F113,
268,,F116,
269,,F117,
273,,F110,
275,,F122,
276,,F123,
278,,F115,
281,,F88,
292,,F128,
293,,F129,
299,,F132,
304,,F135,
306,,F137,
316,,F71-rgreig@apache.org,
323,,F71-rajith@apache.org,
329,,F73,
331,,F146,
332,,category,
original feature size,333
refined feature size,40
