F83,F71-rhs@apache.org,F71-astitcher@apache.org,F71-aidan@apache.org,F71-orudyy@apache.org,F71-gsim@apache.org,F71-rupertlssmith@apache.org,F71-arnaudsimon@apache.org,F71-macbean@apache.org,F71-rgreig@apache.org,F71-vinoski@apache.org,F71-rgodfrey@apache.org,F71-philharveyonline@apache.org,F71-kwall@apache.org,F71-marnie@apache.org,F71-kpvdr@apache.org,F71-rajith@apache.org,F71-wprice@apache.org,F71-ritchiem@apache.org,F71-robbie@apache.org,F71-grkvlt@apache.org,F74,F85,F73,F84,F146,F147,
550,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
550,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2612,1,7773,550,2612,2065,
19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2081,1,7773,19,2081,2065,
19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2081,1,7773,19,2081,2065,
328,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2390,1,7773,328,2390,2065,
551,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,2613,1,7773,44,2106,2065,
1195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3257,1,7773,328,2390,2065,
111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2173,1,7773,14,2076,2065,
1047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3109,1,7773,937,2999,2065,
1047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3109,1,7773,937,2999,2065,
70,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2132,1,7773,14,2076,2065,
70,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2132,1,7773,14,2076,2065,
