F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,
-1.0,0.0,0.0,0.1320754716981132,0.06835910853630364,-1.0,0.0,0.007547169811320755,1571.688679245283,-1.0,-1.0,
-1.0,0.13043478260869565,0.003658759680468321,0.21036106750392464,0.20108362286467713,-0.6956521739130435,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.2222222222222222,0.005575467941059339,0.21036106750392464,0.20108362286467713,-0.5555555555555556,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.2222222222222222,0.005575467941059339,0.21036106750392464,0.20108362286467713,-0.5555555555555556,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.2222222222222222,0.005575467941059339,0.21036106750392464,0.20108362286467713,-0.5555555555555556,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.1485148514851485,0.003719358540396847,0.1465798045602606,0.2651013882677119,-0.7029702970297029,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-1.0,0.1485148514851485,0.003719358540396847,0.1465798045602606,0.2651013882677119,-0.7029702970297029,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-1.0,0.1485148514851485,0.003719358540396847,0.1465798045602606,0.2651013882677119,-0.7029702970297029,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-1.0,0.1485148514851485,0.003719358540396847,0.1465798045602606,0.2651013882677119,-0.7029702970297029,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-1.0,0.0,0.0,0.1320754716981132,0.06835910853630364,-1.0,0.0,0.007547169811320755,1571.688679245283,-1.0,-1.0,
0.0,0.0,0.0,0.1465798045602606,0.2651013882677119,-1.0,0.0,0.02425876010781671,1321.501628664495,-0.6491228070175439,0.0,
0.0,0.0,0.0,0.1465798045602606,0.2651013882677119,-1.0,0.0,0.02425876010781671,1321.501628664495,-0.6491228070175439,0.0,
-1.0,0.16071428571428573,0.0043511356155365374,0.21036106750392464,0.20108362286467713,-0.6785714285714286,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
0.0,0.0,0.0,0.1465798045602606,0.2651013882677119,-1.0,0.0,0.02425876010781671,1321.501628664495,0.0,0.0,
0.0,0.08620689655172414,0.004376403752146915,0.20557491289198607,0.17309271236614301,-0.7758620689655172,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
-1.0,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
0.0,0.0,0.0,0.1465798045602606,0.2651013882677119,-1.0,0.0,0.02425876010781671,1321.501628664495,-1.0,0.0,
0.0,0.0,0.0,0.1465798045602606,0.2651013882677119,-1.0,0.0,0.02425876010781671,1321.501628664495,-1.0,0.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.034482758620689655,0.0017522998936103636,0.0763888888888889,0.34271546625547217,-0.8275862068965517,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.3333333333333333,0.007168458781362008,0.21036106750392464,0.20108362286467713,0.0,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.1702127659574468,0.07062019013128112,0.21354166666666666,0.0020284296299309013,-0.6028368794326241,0.0,0.022102425876010783,917.34375,-1.0,-1.0,
-1.0,0.2222222222222222,0.005575467941059339,0.21036106750392464,0.20108362286467713,-0.5555555555555556,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.2222222222222222,0.005575467941059339,0.21036106750392464,0.20108362286467713,-0.5555555555555556,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
0.0,0.08620689655172414,0.004376403752146915,0.20557491289198607,0.17309271236614301,-0.7758620689655172,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
0.0,0.08620689655172414,0.004376403752146915,0.20557491289198607,0.17309271236614301,-0.7758620689655172,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
0.0,0.1276595744680851,0.008566354424208656,0.1320754716981132,0.06835910853630364,-0.7446808510638298,0.0,0.007547169811320755,1571.688679245283,-1.0,-1.0,
0.0,0.08620689655172414,0.004376403752146915,0.20557491289198607,0.17309271236614301,-0.7758620689655172,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.36363636363636365,0.007464676086376966,0.21036106750392464,0.20108362286467713,-0.2727272727272727,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
0.0,0.08695652173913043,0.004410838059231255,0.20557491289198607,0.17309271236614301,-0.13043478260869565,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-1.0,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.1702127659574468,0.07062019013128112,0.21354166666666666,0.0020284296299309013,-0.6028368794326241,0.0,0.022102425876010783,917.34375,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
0.0,0.0,0.0,0.1465798045602606,0.2651013882677119,-1.0,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-1.0,0.5,0.019230769230769232,0.1320754716981132,0.06835910853630364,0.0,0.0,0.007547169811320755,1571.688679245283,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.0,0.0,0.1465798045602606,0.2651013882677119,-1.0,0.0,0.02425876010781671,1321.501628664495,-0.4666666666666667,-1.0,
-1.0,0.5,0.008064516129032258,0.21036106750392464,0.20108362286467713,0.08333333333333333,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-1.0,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,-1.0,
-1.0,0.034482758620689655,0.0017522998936103636,0.0763888888888889,0.34271546625547217,-0.8275862068965517,0.0,0.005929919137466307,1276.4305555555557,-0.4666666666666667,-1.0,
-1.0,0.034482758620689655,0.0017522998936103636,0.0763888888888889,0.34271546625547217,-0.8275862068965517,0.0,0.005929919137466307,1276.4305555555557,-0.4666666666666667,-1.0,
-1.0,0.034482758620689655,0.0017522998936103636,0.0763888888888889,0.34271546625547217,-0.8275862068965517,0.0,0.005929919137466307,1276.4305555555557,-0.4666666666666667,-1.0,
-1.0,0.034482758620689655,0.0017522998936103636,0.0763888888888889,0.34271546625547217,-0.8275862068965517,0.0,0.005929919137466307,1276.4305555555557,-0.4666666666666667,-1.0,
0.3333333333333333,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,0.0,
0.3333333333333333,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,0.0,
0.3333333333333333,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,0.0,
-1.0,0.625,0.006893382352941176,0.1465798045602606,0.2651013882677119,0.25,0.0,0.02425876010781671,1321.501628664495,-0.4666666666666667,0.0,
0.0,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,0.0,
0.0,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,0.0,
0.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,0.0,
0.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9655172413793104,0.0,0.07223719676549865,1091.828885400314,-0.4666666666666667,0.0,
-1.0,0.16071428571428573,0.0043511356155365374,0.21036106750392464,0.20108362286467713,-0.6785714285714286,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.1111111111111111,0.002904865649963689,0.1465798045602606,0.2651013882677119,-0.6666666666666666,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
0.0,0.1276595744680851,0.008566354424208656,0.1320754716981132,0.06835910853630364,-0.7446808510638298,0.0,0.007547169811320755,1571.688679245283,-1.0,-1.0,
-0.5,0.047619047619047616,0.0013338668800853672,0.1465798045602606,0.2651013882677119,-0.9047619047619048,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-0.5,0.047619047619047616,0.0013338668800853672,0.1465798045602606,0.2651013882677119,-0.9047619047619048,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-0.5,0.047619047619047616,0.0013338668800853672,0.1465798045602606,0.2651013882677119,-0.9047619047619048,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-0.5,0.047619047619047616,0.0013338668800853672,0.1465798045602606,0.2651013882677119,-0.9047619047619048,0.0,0.02425876010781671,1321.501628664495,-1.0,-1.0,
-1.0,0.3333333333333333,0.11111111111111112,0.21354166666666666,0.0020284296299309013,-0.3137254901960784,0.0,0.022102425876010783,917.34375,-1.0,-1.0,
-1.0,0.0,0.0,0.21036106750392464,0.20108362286467713,-0.9565217391304348,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.11764705882352941,0.005767012687427912,0.20557491289198607,0.17309271236614301,-0.7647058823529411,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
-1.0,0.11764705882352941,0.005767012687427912,0.20557491289198607,0.17309271236614301,-0.7647058823529411,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.304635761589404,0.006833316591943477,0.21036106750392464,0.20108362286467713,-0.2185430463576159,0.0,0.07223719676549865,1091.828885400314,-1.0,-1.0,
-1.0,0.3333333333333333,0.11111111111111112,0.21354166666666666,0.0020284296299309013,-0.3137254901960784,0.0,0.022102425876010783,917.34375,-1.0,-1.0,
-1.0,0.3333333333333333,0.11111111111111112,0.21354166666666666,0.0020284296299309013,-0.3137254901960784,0.0,0.022102425876010783,917.34375,-1.0,-1.0,
-1.0,0.11764705882352941,0.005767012687427912,0.20557491289198607,0.17309271236614301,-0.7647058823529411,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
-1.0,0.11764705882352941,0.005767012687427912,0.20557491289198607,0.17309271236614301,-0.7647058823529411,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
-1.0,0.1702127659574468,0.07062019013128112,0.21354166666666666,0.0020284296299309013,-0.6028368794326241,0.0,0.022102425876010783,917.34375,-1.0,-1.0,
-1.0,0.1702127659574468,0.07062019013128112,0.21354166666666666,0.0020284296299309013,-0.6028368794326241,0.0,0.022102425876010783,917.34375,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
-1.0,0.0,0.0,0.0763888888888889,0.34271546625547217,-1.0,0.0,0.005929919137466307,1276.4305555555557,-1.0,-1.0,
0.0,0.08620689655172414,0.004376403752146915,0.20557491289198607,0.17309271236614301,-0.7758620689655172,0.0,0.031805929919137464,1068.3275261324043,-1.0,-1.0,
