3,,F25,
9,,F34,
11,,F69,
13,,F101,
14,,F102,
17,,F105,
18,,F107,
52,,F3-String,
72,,F17-final,
114,,F6-java.io.BufferedReader,
233,,F22,
234,,F79,
238,,F116,
239,,F117,
240,,F118,
241,,F119,
243,,F110,
245,,F122,
246,,F123,
247,,F114,
248,,F115,
250,,F77,
252,,F70,
253,,F41,
255,,F43,
265,,F130,
266,,F35,
267,,F131,
269,,F132,
273,,F39,
274,,F135,
276,,F137,
278,,F71-mattsicker@unknown,
281,,F71-ggregory@apache.org,
283,,F71-rgoers@apache.org,
287,,F73,
290,,category,
original feature size,291
refined feature size,36
