F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
18,0.15789473684210525,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,93,44,6,143,29301,0.05848069029563018,17667,2,49,4,0.061699803085967085,6,5322,0,2381,62,2,7765,2941,0.10076208042984618,106516,92654,
18,0.08333333333333333,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,364,318,50,732,29301,0.05848069029563018,17667,1,46,1,0.18409761019907403,2,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.08333333333333333,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,364,318,50,732,29301,0.05848069029563018,17667,1,46,1,0.18409761019907403,2,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
18,0.0,0,17,1,35,4012,23129,203182,0.057182069662965636,13862,710,0.07547232819554779,5462,243,243,0,486,29301,0.05848069029563018,17667,0,0,0,0.03036393753814763,0,5322,0,2381,62,0,7765,2941,0.10076208042984618,106516,92654,
