STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org/apache/log4j/BasicConfigurationFactory.java,<init>,54-54,[            final Level level = (levelName != null && Level.valueOf(levelName) != null) ? Level.valueOf(levelName) : Level.DEBUG;],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/log4j/BasicConfigurationFactory.java,,50-60,[        public BasicConfiguration() {,             final LoggerConfig root = getRootLogger();,             setName("BasicConfiguration");,             final String levelName = System.getProperty(DEFAULT_LEVEL);,             final Level level = (levelName != null && Level.valueOf(levelName) != null) ? Level.valueOf(levelName) : Level.DEBUG;,             root.setLevel(level);,         }, ,         @Override,         protected void doConfigure() {,         }],,
I18N,DM_CONVERT_CASE,org/apache/log4j/Level.java,toLevel,176-176,[        final String s = sArg.toUpperCase();],,
STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org/apache/log4j/Level.java,readObject,223-223,[        if (levelStr == null) {],,
STYLE,BC_VACUOUS_INSTANCEOF,org/apache/log4j/LevelTest.java,testALL,208-208,[        assertTrue(Level.ALL instanceof Level);],,
STYLE,BC_VACUOUS_INSTANCEOF,org/apache/log4j/LevelTest.java,testDEBUG,192-192,[        assertTrue(Level.DEBUG instanceof Level);],,
STYLE,BC_VACUOUS_INSTANCEOF,org/apache/log4j/LevelTest.java,testERROR,168-168,[        assertTrue(Level.ERROR instanceof Level);],,
STYLE,BC_VACUOUS_INSTANCEOF,org/apache/log4j/LevelTest.java,testFATAL,160-160,[        assertTrue(Level.FATAL instanceof Level);],,
STYLE,BC_VACUOUS_INSTANCEOF,org/apache/log4j/LevelTest.java,testINFO,184-184,[        assertTrue(Level.INFO instanceof Level);],,
STYLE,BC_VACUOUS_INSTANCEOF,org/apache/log4j/LevelTest.java,testOFF,152-152,[        assertTrue(Level.OFF instanceof Level);],,
STYLE,BC_VACUOUS_INSTANCEOF,org/apache/log4j/LevelTest.java,testTRACE,200-200,[        assertTrue(Level.TRACE instanceof Level);],,
STYLE,BC_VACUOUS_INSTANCEOF,org/apache/log4j/LevelTest.java,testWARN,176-176,[        assertTrue(Level.WARN instanceof Level);],,
BAD_PRACTICE,NM_CONFUSING,org/apache/log4j/LevelTest.java,testDEBUG,192-193,[        assertTrue(Level.DEBUG instanceof Level);,     }],,testDebug,117-155,[        currentLevel = Level.DEBUG;, ,         currentEvent = events[0];,         debug("Hello");,         debug(null, "Hello");,         currentEvent = events[1];,         debug(MarkerManager.getMarker("TEST"), "Hello");,         currentEvent = events[2];,         debug("Hello", t);,         debug(null, "Hello", t);,         currentEvent = events[3];,         debug(MarkerManager.getMarker("TEST"), "Hello", t);,         currentEvent = events[4];,         debug(obj);,         currentEvent = events[5];,         debug(MarkerManager.getMarker("TEST"), obj);,         currentEvent = events[6];,         debug(obj, t);,         debug(null, obj, t);,         currentEvent = events[7];,         debug(MarkerManager.getMarker("TEST"), obj, t);,         currentEvent = events[8];,         debug(pattern, p1, p2);,         currentEvent = events[9];,         debug(MarkerManager.getMarker("TEST"), pattern, p1, p2);,         currentEvent = events[10];,         debug(simple);,         debug(null, simple);,         debug(null, simple, null);,         currentEvent = events[11];,         debug(simple, t);,         debug(null, simple, t);,         currentEvent = events[12];,         debug(MarkerManager.getMarker("TEST"), simple, null);,         currentEvent = events[13];,         debug(MarkerManager.getMarker("TEST"), simple, t);,         currentEvent = events[14];,         debug(MarkerManager.getMarker("TEST"), simple);,     }],,
BAD_PRACTICE,NM_CONFUSING,org/apache/log4j/LevelTest.java,testERROR,168-169,[        assertTrue(Level.ERROR instanceof Level);,     }],,testError,243-281,[        currentLevel = Level.ERROR;, ,         currentEvent = events[0];,         error("Hello");,         error(null, "Hello");,         currentEvent = events[1];,         error(MarkerManager.getMarker("TEST"), "Hello");,         currentEvent = events[2];,         error("Hello", t);,         error(null, "Hello", t);,         currentEvent = events[3];,         error(MarkerManager.getMarker("TEST"), "Hello", t);,         currentEvent = events[4];,         error(obj);,         currentEvent = events[5];,         error(MarkerManager.getMarker("TEST"), obj);,         currentEvent = events[6];,         error(obj, t);,         error(null, obj, t);,         currentEvent = events[7];,         error(MarkerManager.getMarker("TEST"), obj, t);,         currentEvent = events[8];,         error(pattern, p1, p2);,         currentEvent = events[9];,         error(MarkerManager.getMarker("TEST"), pattern, p1, p2);,         currentEvent = events[10];,         error(simple);,         error(null, simple);,         error(null, simple, null);,         currentEvent = events[11];,         error(simple, t);,         error(null, simple, t);,         currentEvent = events[12];,         error(MarkerManager.getMarker("TEST"), simple, null);,         currentEvent = events[13];,         error(MarkerManager.getMarker("TEST"), simple, t);,         currentEvent = events[14];,         error(MarkerManager.getMarker("TEST"), simple);,     }],,
BAD_PRACTICE,NM_CONFUSING,org/apache/log4j/LevelTest.java,testFATAL,160-161,[        assertTrue(Level.FATAL instanceof Level);,     }],,testFatal,98-99,[        assertTrue(Priority.FATAL instanceof Level);,     }],,
